name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
Ouachita Baptist University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2587_Logo.gif&w=3840&q=75,"Arkadelphia, AR",4-year • Private,$22K,"$21,677","$27,211",65%,"410 Ouachita St, Arkadelphia, AR 71998",,obu.edu,https://admissions.obu.edu/portal/undergraduate-application,68%,August 15,1080–1270*,22–28*,Required,Neither required nor recommended,Required for some,13:1,82%,May 1,"$9,720","1,607",Small • Rural,78
Otterbein University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2012_Logo.gif&w=3840&q=75,"Westerville, OH",4-year • Private,$23K,"$22,661","$32,483",70%,"1 S Grove St, Westerville, OH 43081",,otterbein.edu,https://www.otterbein.edu/apply/,83%,Not available,1040–1258*,19–27*,Required,Recommended,Considered if submitted,12:1,82%,Not available,"$12,724","2,056",Small • Suburban,77
Ottawa University Online,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Leawood, KS",4-year • Private,Not available,Not available,Not available,Not available,"4370 W 109th St Ste 200, Leawood, KS 66211",Phone number not available,ottawa.edu/professional/admissions/overview,https://www.ottawa.edu/apply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,2:1,Not available,Not available,Not available,Not available,Rural,39
Ottawa University Milwaukee Brookfield,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Brookfield, WI",4-year • Private,Not available,Not available,Not available,Not available,"245 S Executive Dr Ste 340, Brookfield, WI 53005",Phone number not available,ottawa.edu/professional/admissions/overview,https://www.ottawa.edu/professional/apply-now/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,2:1,Not available,Not available,Not available,Not available,Suburban,24
Ottawa University Kansas City,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Leawood, KS",4-year • Private,Not available,Not available,Not available,Not available,"4370 W 109th St Ste 200, Leawood, KS 66211",Phone number not available,ottawa.edu/professional/admissions/overview,https://www.ottawa.edu/apply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,5:1,Not available,Not available,Not available,Not available,Urban,37
Ottawa University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2585_Logo.gif&w=3840&q=75,"Ottawa, KS",4-year • Private,$27K,"$26,872",Not available,28%,"1001 S Cedar St, Ottawa, KS 66067",,ottawa.edu,https://www.ottawa.edu/apply-now,78%,Not available,460–540*,18–23*,Required,Considered but not required,Recommended,11:1,63%,Not available,"$15,600",953,Small • Rural,46
Otsego Northern Catskills Board Of Cooperative Educational Services Practical Nursing Program,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Oneonta, NY",Less than 2-year • Career and Technical,$10K,"$9,751",Not available,Not available,"31 Center St Fl 3, Oneonta, NY 13820",Phone number not available,oncboces.org,https://www.oncboces.org/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,8:1,100%,Not available,Not available,Not available,Rural,1
Otis College of Art and Design,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1488_Logo.gif&w=3840&q=75,"Los Angeles, CA",4-year • Private,$48K,"$48,198","$8,628",62%,"9045 Lincoln Blvd, Los Angeles, CA 90045",Phone number not available,otis.edu,https://www.otis.edu/apply-now,83%,Not available,Not available*,17–24*,Required,Considered but not required,Neither required nor recommended,9:1,76%,Not available,"$20,457","1,268",Small • Urban,8
Otero Junior College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F704_Logo.gif&w=3840&q=75,"La Junta, CO",2-year • Public,$11K,"$11,498",Not available,Not available,"1802 Colorado Avenue, La Junta, CO 81050",Phone number not available,ojc.edu,https://ojc.elluciancrmrecruit.com/Apply/Account/Login?ReturnUrl=%2fApply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,56%,Not available,"$9,281",Not available,Rural,18
Orlo School Of Hair Design And Cosmetology,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Albany, NY",Less than 2-year • Career and Technical,$18K,"$18,315",Not available,Not available,"232 N Allen St, Albany, NY 12206",Phone number not available,theorloschool.com,https://www.theorloschool.com/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,10:1,100%,Not available,Not available,Not available,Urban,1
Orleans Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1118_Logo.gif&w=3840&q=75,"Philadelphia, PA",Less than 2-year • Private,$21K,"$21,308",Not available,Not available,"2770 Red Lion Rd, Philadelphia, PA 19154",Phone number not available,orleanstech.edu,https://orleanstech.edu/apply-online/,66%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,14:1,Not available,Not available,Not available,Not available,Urban,6
Orleans Niagara Board Of Cooperative Educational Services Practical Nursing Program,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lockport, NY",Less than 2-year • Career and Technical,$18K,"$17,994",Not available,Not available,"50 Main St, Lockport, NY 14094",Phone number not available,,,,,,,Neither required nor recommended,Neither required nor recommended,Not available,9:1,100%,Not available,Not available,Not available,Rural,1
Orion Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F59_Logo.gif&w=3840&q=75,"Davenport, IA",4-year • Private,$18K,"$18,056",Not available,Not available,"3940 Elmore Ave, Davenport, IA 52807",Phone number not available,hamiltontechcollege.edu,https://orion.edu/iowa/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,Not available,Not available,Not available,Not available,Suburban,5
Orion Institute,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Perrysburg, OH",Less than 2-year • Career and Technical,$25K,"$24,851",Not available,Not available,"340 3 Meadows Dr, Perrysburg, OH 43551",Phone number not available,orion.edu/orioninstitute,https://www.orion.edu/orioninstitute,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,7:1,100%,Not available,Not available,Not available,Suburban,1
Oregon State University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2903_Logo.gif&w=3840&q=75,"Corvallis, OR",4-year • Public,$21K,"$21,163","$15,571",70%,"1500 SW Jefferson Ave, Corvallis, OR 97331",,oregonstate.edu,https://admissions.oregonstate.edu/apply-choose-application,90%,February 3,1040–1310*,20–28*,Required,Considered but not required,Considered if submitted,18:1,86%,February 28,"$16,386","26,626",Very Large • Suburban,157
